from,to,count
庆阳市,合肥市,122
巴中市,厦门市,122
金华市,黔西南布依族苗族自治州,121
广州市,河池市,121
绍兴市,六安市,121
杭州市,宜昌市,121
东莞市,郑州市,121
广州市,开封市,121
合肥市,黄冈市,121
廊坊市,重庆市,121
上海市,柳州市,121
西安市,黄冈市,121
贵阳市,福州市,121
天津市,营口市,121
天津市,枣庄市,121
三亚市,杭州市,121
阿克苏地区,重庆市,121
西安市,张掖市,121
天津市,福州市,121
榆林市,朔州市,121
西安市,常德市,121
合肥市,连云港市,121
邢台市,枣庄市,121
哈尔滨市,临沂市,121
台州市,泰州市,121
亳州市,南阳市,121
赣州市,怀化市,121
邢台市,淄博市,121
吉林市,绥化市,121
徐州市,太原市,121
黔东南苗族侗族自治州,福州市,121
唐山市,武汉市,121
襄樊市,新乡市,121
重庆市,烟台市,121
秦皇岛市,盘锦市,121
张掖市,天水市,121
宜春市,荆州市,121
保定市,昆明市,121
威海市,武汉市,121
漯河市,濮阳市,121
西安市,巴彦淖尔市,121
景德镇市,南平市,121
南宁市,苏州市,121
清远市,澳门特别行政区,121
聊城市,重庆市,121
海南省直辖县级行政单位,宁波市,121
信阳市,湖北省直辖县级行政单位,121
扬州市,宜昌市,121
济宁市,晋中市,121
沧州市,威海市,121
周口市,随州市,121
遵义市,株洲市,121
南阳市,太原市,121
湛江市,香港特别行政区,121
淮安市,深圳市,121
徐州市,威海市,121
柳州市,杭州市,121
厦门市,丽水市,121
韶关市,贺州市,121
白银市,重庆市,121
邯郸市,盐城市,121
安顺市,温州市,121
白银市,嘉峪关市,121
驻马店市,宿迁市,121
巢湖市,青岛市,121
辽阳市,上海市,121
株洲市,肇庆市,121
驻马店市,唐山市,121
娄底市,曲靖市,121
萍乡市,南京市,121
南充市,天津市,121
黄冈市,汕头市,121
眉山市,桂林市,121
广元市,六安市,121
金华市,商丘市,120
金华市,贵阳市,120
宁波市,信阳市,120
天津市,信阳市,120
昆明市,广安市,120
汕尾市,重庆市,120
上海市,漯河市,120
邯郸市,日照市,120
常州市,临沂市,120
泉州市,桂林市,120
深圳市,大连市,120
肇庆市,柳州市,120
沈阳市,三亚市,120
北京市,莱芜市,120
青岛市,温州市,120
果洛藏族自治州,阿坝藏族羌族自治州,120
廊坊市,朝阳市,120
贵阳市,南京市,120
武汉市,景德镇市,120
澳门特别行政区,东莞市,120
潍坊市,秦皇岛市,120
随州市,安康市,120
白银市,吴忠市,120
淮安市,亳州市,120
珠海市,南京市,120
毕节地区,达州市,120
昆明市,柳州市,120
孝感市,周口市,120
孝感市,宜春市,120
盘锦市,唐山市,120
西双版纳傣族自治州,宜宾市,120
襄樊市,昆明市,120
连云港市,六安市,120
青岛市,嘉兴市,120
阳江市,梅州市,120
上饶市,贵阳市,120
重庆市,防城港市,120
永州市,遵义市,120
鹰潭市,温州市,120
襄樊市,常州市,120
宿迁市,马鞍山市,120
恩施土家族苗族自治州,铜仁地区,120
忻州市,郑州市,120
常德市,上饶市,120
黄冈市,怀化市,120
湘潭市,贵阳市,120
安康市,孝感市,120
渭南市,西宁市,120
重庆市,黄山市,120
株洲市,南京市,120
焦作市,咸阳市,120
信阳市,清远市,120
三门峡市,宿州市,120
资阳市,甘孜藏族自治州,120
亳州市,佛山市,120
黔西南布依族苗族自治州,玉溪市,120
亳州市,抚州市,120
咸宁市,南通市,120
湘西土家族苗族自治州,中山市,120
自贡市,中山市,120
曲靖市,佛山市,120
永州市,汕头市,120
黔南布依族苗族自治州,无锡市,120
自贡市,河池市,120
渭南市,株洲市,120
温州市,毕节地区,119
佛山市,常德市,119
台州市,九江市,119
常州市,信阳市,119
佛山市,南昌市,119
南京市,上饶市,119
廊坊市,济宁市,119
郑州市,黄冈市,119
鄂尔多斯市,太原市,119
南昌市,黄石市,119
重庆市,邯郸市,119
南京市,贵阳市,119
邯郸市,南阳市,119
大连市,重庆市,119
哈尔滨市,厦门市,119
吴忠市,白银市,119
郑州市,宜昌市,119
西安市,荆门市,119
兰州市,杭州市,119
沧州市,洛阳市,119
西安市,遵义市,119
聊城市,吕梁市,119
银川市,呼和浩特市,119
梧州市,衡阳市,119
廊坊市,乌兰察布市,119
舟山市,徐州市,119
桂林市,海南省直辖县级行政单位,119
六安市,菏泽市,119
宁德市,武汉市,119
黄石市,十堰市,119
香港特别行政区,昆明市,119
衡水市,菏泽市,119
迪庆藏族自治州,昌都地区,119
石家庄市,乌兰察布市,119
聊城市,焦作市,119
安阳市,阜阳市,119
泉州市,天津市,119
三门峡市,武汉市,119
廊坊市,昆明市,119
通化市,辽阳市,119
汕头市,海口市,119
遂宁市,阿坝藏族羌族自治州,119
开封市,南通市,119
衡阳市,金华市,119
阜阳市,荆州市,119
咸宁市,郑州市,119
恩施土家族苗族自治州,随州市,119
大庆市,廊坊市,119
南宁市,韶关市,119
廊坊市,东营市,119
钦州市,黔南布依族苗族自治州,119
贵港市,贵阳市,119
柳州市,绍兴市,119
承德市,大连市,119
新乡市,黄冈市,119
毕节地区,宜春市,119
徐州市,乌鲁木齐市,119
驻马店市,昆明市,119
平凉市,酒泉市,119
濮阳市,河南省直辖县级行政单位,119
松原市,赤峰市,119
菏泽市,巢湖市,119
娄底市,毕节地区,119
衡阳市,西双版纳傣族自治州,119
鄂州市,苏州市,119
平顶山市,台州市,119
邵阳市,海口市,119
安康市,天津市,119
随州市,温州市,119
常德市,河源市,119
漯河市,厦门市,119
平顶山市,佛山市,119
达州市,绍兴市,119
安庆市,中山市,119
上饶市,江门市,119
台州市,亳州市,118
温州市,黔东南苗族侗族自治州,118
泉州市,安庆市,118
广州市,萍乡市,118
温州市,景德镇市,118
深圳市,十堰市,118
上海市,天水市,118
惠州市,泉州市,118
嘉兴市,南昌市,118
金华市,三明市,118
武汉市,抚州市,118
泰州市,六安市,118
西安市,孝感市,118
金华市,成都市,118
台州市,泉州市,118
深圳市,乌鲁木齐市,118
北京市,乐山市,118
厦门市,南宁市,118
长沙市,海南省直辖县级行政单位,118
长沙市,济南市,118
台州市,芜湖市,118
太原市,乌兰察布市,118
邯郸市,许昌市,118
舟山市,泰州市,118
巴音郭楞蒙古自治州,塔城地区,118
唐山市,重庆市,118
海南省直辖县级行政单位,沈阳市,118
贵阳市,台州市,118
桂林市,合肥市,118
长春市,杭州市,118
宜春市,咸宁市,118
海口市,珠海市,118
七台河市,绥化市,118
渭南市,庆阳市,118
威海市,沈阳市,118
保定市,合肥市,118
唐山市,晋中市,118
上饶市,亳州市,118
铜仁地区,湘潭市,118
临沧市,红河哈尼族彝族自治州,118
驻马店市,运城市,118
西安市,株洲市,118
襄樊市,贵阳市,118
毕节地区,北京市,118
德州市,武汉市,118
重庆市,河源市,118
宜昌市,邵阳市,118
武威市,巴音郭楞蒙古自治州,118
承德市,上海市,118
岳阳市,柳州市,118
信阳市,盐城市,118
荆州市,宜春市,118
抚州市,合肥市,118
岳阳市,温州市,118
三门峡市,天津市,118
南充市,郑州市,118
周口市,宜昌市,118
龙岩市,南京市,118
阜阳市,株洲市,118
岳阳市,天津市,118
宜春市,常州市,118
南阳市,蚌埠市,118
随州市,天津市,118
菏泽市,昆明市,118
巢湖市,西安市,118
周口市,上饶市,118
西双版纳傣族自治州,凉山彝族自治州,118
陇南市,天津市,118
咸宁市,泉州市,118
十堰市,惠州市,118
贵港市,赣州市,118
黄冈市,廊坊市,118
菏泽市,银川市,118
九江市,江门市,118
黔西南布依族苗族自治州,北海市,118
巢湖市,廊坊市,118
濮阳市,嘉兴市,118
孝感市,珠海市,118
晋中市,苏州市,118
汉中市,佛山市,118
资阳市,佛山市,118
信阳市,韶关市,118
广安市,江门市,118
东莞市,周口市,117
宁波市,宣城市,117
苏州市,抚州市,117
厦门市,南阳市,117
保定市,南阳市,117
郑州市,孝感市,117
廊坊市,聊城市,117
无锡市,池州市,117
南京市,泉州市,117
南京市,襄樊市,117
巴音郭楞蒙古自治州,成都市,117
保定市,运城市,117
青岛市,延边朝鲜族自治州,117
株洲市,咸宁市,117
南昌市,徐州市,117
长沙市,金华市,117
济宁市,安阳市,117
呼和浩特市,成都市,117
西安市,海口市,117
廊坊市,武汉市,117
玉溪市,毕节地区,117
湛江市,衡阳市,117
香港特别行政区,宁波市,117
厦门市,南通市,117
保定市,葫芦岛市,117
南通市,福州市,117
贵阳市,金华市,117
丽江市,红河哈尼族彝族自治州,117
桂林市,泉州市,117
枣庄市,邯郸市,117
泰安市,安阳市,117
温州市,汕头市,117
黄山市,九江市,117
宜春市,郑州市,117
开封市,衡水市,117
邯郸市,东营市,117
湘潭市,九江市,117
海南省直辖县级行政单位,中山市,117
宝鸡市,临汾市,117
滨州市,南京市,117
连云港市,深圳市,117
渭南市,绵阳市,117
衡阳市,宜昌市,117
株洲市,柳州市,117
咸宁市,合肥市,117
枣庄市,保定市,117
新乡市,蚌埠市,117
宜昌市,无锡市,117
淮北市,绍兴市,117
黔南布依族苗族自治州,苏州市,117
湖北省直辖县级行政单位,福州市,117
松原市,青岛市,117
巴中市,贵阳市,117
绥化市,葫芦岛市,117
焦作市,盐城市,117
邯郸市,淮安市,117
德阳市,兰州市,117
达州市,孝感市,117
吉安市,天津市,117
北海市,曲靖市,117
绵阳市,桂林市,117
益阳市,金华市,117
武威市,重庆市,117
许昌市,泉州市,117
安阳市,宁德市,117
鹤壁市,泰州市,117
台州市,恩施土家族苗族自治州,116
深圳市,许昌市,116
北京市,湖北省直辖县级行政单位,116
北京市,上饶市,116
镇江市,重庆市,116
长沙市,黄石市,116
北京市,湘潭市,116
南昌市,荆州市,116
郑州市,六安市,116
临沂市,唐山市,116
廊坊市,烟台市,116
天津市,海南省直辖县级行政单位,116
宁德市,赣州市,116
威海市,枣庄市,116
营口市,通化市,116
成都市,黔西南布依族苗族自治州,116
贵阳市,厦门市,116
文山壮族苗族自治州,成都市,116
长春市,本溪市,116
南阳市,益阳市,116
日照市,郑州市,116
九江市,鄂州市,116
南昌市,漳州市,116
廊坊市,杭州市,116
龙岩市,武汉市,116
枣庄市,邢台市,116
昌吉回族自治州,喀什地区,116
伊春市,双鸭山市,116
衡水市,武汉市,116
德阳市,甘孜藏族自治州,116
菏泽市,晋城市,116
莱芜市,枣庄市,116
常德市,十堰市,116
毕节地区,上饶市,116
铁岭市,唐山市,116
渭南市,广元市,116
九江市,昆明市,116
通化市,通辽市,116
驻马店市,聊城市,116
湘西土家族苗族自治州,南阳市,116
赣州市,台州市,116
郴州市,湛江市,116
莆田市,惠州市,116
黄冈市,镇江市,116
黄冈市,海口市,116
张掖市,吐鲁番地区,116
萍乡市,福州市,116
齐齐哈尔市,盘锦市,116
淄博市,深圳市,116
娄底市,宜昌市,116
黄山市,泰州市,116
宜宾市,苏州市,116
湖北省直辖县级行政单位,泉州市,116
平顶山市,惠州市,116
眉山市,东莞市,116
庆阳市,信阳市,116
驻马店市,镇江市,116
安阳市,株洲市,116
安康市,株洲市,116
崇左市,清远市,116
温州市,滁州市,115
深圳市,绵阳市,115
天津市,四平市,115
成都市,徐州市,115
成都市,十堰市,115
杭州市,烟台市,115
南宁市,西安市,115
哈尔滨市,南昌市,115
长沙市,遵义市,115
徐州市,信阳市,115
长沙市,湛江市,115
沈阳市,烟台市,115
济南市,大连市,115
北海市,三亚市,115
贵阳市,柳州市,115
铜陵市,六安市,115
西安市,连云港市,115
合肥市,绍兴市,115
临夏回族自治州,酒泉市,115
徐州市,福州市,115
黔南布依族苗族自治州,贵港市,115
德阳市,昭通市,115
海南省直辖县级行政单位,昆明市,115
桂林市,襄樊市,115
保定市,厦门市,115
张家口市,郑州市,115
柳州市,成都市,115
牡丹江市,鹤岗市,115
晋城市,忻州市,115
绵阳市,乌鲁木齐市,115
九江市,莆田市,115
运城市,朔州市,115
黔东南苗族侗族自治州,北京市,115
梅州市,长沙市,115
重庆市,百色市,115
咸阳市,南京市,115
开封市,潍坊市,115
安庆市,咸宁市,115
威海市,西安市,115
佳木斯市,青岛市,115
益阳市,吉安市,115
四平市,齐齐哈尔市,115
晋中市,武汉市,115
襄樊市,青岛市,115
宝鸡市,晋中市,115
漯河市,重庆市,115
邢台市,长沙市,115
抚顺市,青岛市,115
渭南市,鄂尔多斯市,115
鹰潭市,南京市,115
三门峡市,深圳市,115
衡水市,大连市,115
渭南市,宿州市,115
鞍山市,青岛市,115
上饶市,泰州市,115
淮北市,嘉兴市,115
九江市,海口市,115
南平市,佛山市,115
大理白族自治州,黔南布依族苗族自治州,115
汉中市,宜昌市,115
曲靖市,温州市,115
濮阳市,广州市,115
南阳市,芜湖市,115
开封市,芜湖市,115
鄂州市,杭州市,115
临汾市,宿迁市,115
梧州市,河源市,115
通化市,唐山市,115
南充市,天水市,115
周口市,池州市,115
资阳市,苏州市,115
楚雄彝族自治州,东莞市,115
东莞市,抚州市,114
泉州市,毕节地区,114
嘉兴市,亳州市,114
常州市,商丘市,114
上海市,常德市,114
深圳市,南平市,114
北京市,抚州市,114
长沙市,温州市,114
绍兴市,成都市,114
泰州市,九江市,114
西安市,中卫市,114
临汾市,焦作市,114
淮南市,商丘市,114
遵义市,眉山市,114
廊坊市,南京市,114
菏泽市,哈尔滨市,114
唐山市,盘锦市,114
乌兰察布市,承德市,114
吕梁市,郑州市,114
昭通市,德阳市,114
吕梁市,银川市,114
武威市,平凉市,114
锡林郭勒盟,巴彦淖尔市,114
南阳市,聊城市,114
昭通市,达州市,114
福州市,珠海市,114
鹰潭市,新余市,114
徐州市,马鞍山市,114
萍乡市,益阳市,114
葫芦岛市,吉林市,114
六安市,长沙市,114
韶关市,南宁市,114
龙岩市,温州市,114
重庆市,萍乡市,114
安庆市,南阳市,114
玉林市,武汉市,114
潮州市,韶关市,114
重庆市,芜湖市,114
锡林郭勒盟,石家庄市,114
德州市,承德市,114
大理白族自治州,南宁市,114
济宁市,长春市,114
商丘市,荆州市,114
常德市,安庆市,114
毕节地区,湘潭市,114
宿州市,咸阳市,114
西安市,雅安市,114
常德市,合肥市,114
湖北省直辖县级行政单位,温州市,114
大同市,济南市,114
郴州市,昆明市,114
黄山市,济南市,114
文山壮族苗族自治州,阳江市,114
阜阳市,佛山市,114
平顶山市,廊坊市,114
安庆市,南宁市,114
鄂州市,赣州市,114
黄石市,嘉兴市,114
三门峡市,晋城市,114
黔西南布依族苗族自治州,中山市,114
曲靖市,无锡市,114
深圳市,广安市,113
金华市,吉安市,113
江门市,铜仁地区,113
广州市,十堰市,113
佛山市,昆明市,113
昆明市,合肥市,113
大连市,郑州市,113
西安市,潍坊市,113
哈密地区,张掖市,113
青岛市,宿迁市,113
长春市,沧州市,113
韶关市,岳阳市,113
阿拉善盟,吴忠市,113
临沂市,濮阳市,113
济南市,长沙市,113
武汉市,香港特别行政区,113
西安市,宜宾市,113
连云港市,泰安市,113
南昌市,南通市,113
长春市,朝阳市,113
烟台市,重庆市,113
攀枝花市,遂宁市,113
苏州市,香港特别行政区,113
咸阳市,达州市,113
邢台市,周口市,113
赣州市,成都市,113
榆林市,中卫市,113
盐城市,烟台市,113
温州市,济南市,113
徐州市,九江市,113
保定市,长治市,113
淄博市,连云港市,113
宿迁市,武汉市,113
淮南市,宿迁市,113
淮安市,绍兴市,113
安庆市,荆州市,113
三明市,吉安市,113
连云港市,广州市,113
石嘴山市,兰州市,113
徐州市,池州市,113
咸阳市,固原市,113
宜昌市,南昌市,113
周口市,银川市,113
渭南市,襄樊市,113
崇左市,贺州市,113
南宁市,宁波市,113
黄冈市,景德镇市,113
驻马店市,荆门市,113
洛阳市,宜昌市,113
周口市,荆门市,113
绥化市,铁岭市,113
抚顺市,通辽市,113
宿州市,九江市,113
榆林市,上海市,113
临沧市,玉溪市,113
聊城市,泰州市,113
洛阳市,烟台市,113
莆田市,佛山市,113
萍乡市,景德镇市,113
邵阳市,抚州市,113
巢湖市,长沙市,113
绵阳市,渭南市,113
衡阳市,泉州市,113
茂名市,贵阳市,113
宁德市,常州市,113
滁州市,赣州市,113
遵义市,红河哈尼族彝族自治州,113
天水市,广州市,113
十堰市,九江市,113
荆州市,嘉兴市,113
池州市,淮安市,113
商洛市,郑州市,113
池州市,东莞市,113
巢湖市,济南市,113
湘西土家族苗族自治州,宜春市,113
驻马店市,芜湖市,113
湖北省直辖县级行政单位,珠海市,113
佛山市,泸州市,112
佛山市,宜春市,112
宁波市,南阳市,112
上海市,恩施土家族苗族自治州,112
成都市,荆州市,112
昆明市,南昌市,112
上海市,德阳市,112
绍兴市,南平市,112
扬州市,商丘市,112
肇庆市,郴州市,112
揭阳市,桂林市,112
绍兴市,徐州市,112
漳州市,上饶市,112
烟台市,邯郸市,112
武汉市,焦作市,112
福州市,景德镇市,112
太原市,三亚市,112
天津市,阳泉市,112
合肥市,台州市,112
哈尔滨市,重庆市,112
太原市,洛阳市,112
温州市,泰州市,112
泉州市,合肥市,112
厦门市,长春市,112
晋中市,聊城市,112
焦作市,阜阳市,112
北海市,衡阳市,112
揭阳市,福州市,112
常州市,厦门市,112
石家庄市,朔州市,112
南宁市,曲靖市,112
阳江市,北海市,112
舟山市,临沂市,112
保定市,吕梁市,112
阿坝藏族羌族自治州,南充市,112
吉安市,黄石市,112
徐州市,台州市,112
济南市,秦皇岛市,112
唐山市,三亚市,112
株洲市,成都市,112
铜仁地区,武汉市,112
赣州市,绍兴市,112
台州市,青岛市,112
大连市,宁波市,112
晋城市,石家庄市,112
泰安市,重庆市,112
许昌市,徐州市,112
大理白族自治州,武汉市,112
大庆市,秦皇岛市,112
扬州市,广州市,112
重庆市,武威市,112
荆门市,信阳市,112
荆州市,上饶市,112
梅州市,南宁市,112
驻马店市,衡水市,112
河池市,文山壮族苗族自治州,112
邢台市,广州市,112
莆田市,南京市,112
绵阳市,武汉市,112
南昌市,河源市,112
新乡市,岳阳市,112
襄樊市,上饶市,112
鹤壁市,晋城市,112
梅州市,玉林市,112
湘西土家族苗族自治州,泉州市,112
漯河市,合肥市,112
濮阳市,亳州市,112
铜仁地区,苏州市,112
枣庄市,芜湖市,112
咸宁市,常州市,112
十堰市,无锡市,112
营口市,青岛市,112
湖北省直辖县级行政单位,赣州市,112
泰安市,深圳市,112
开封市,枣庄市,112
临汾市,无锡市,112
达州市,河源市,112
抚州市,韶关市,112
黄山市,南平市,112
巢湖市,福州市,112
南阳市,张家界市,112
巢湖市,抚州市,112
开封市,六安市,112
六盘水市,湘西土家族苗族自治州,112
安庆市,三明市,112
黔南布依族苗族自治州,湖州市,112
达州市,河池市,112
信阳市,河源市,112
十堰市,佛山市,112
十堰市,郴州市,112
平顶山市,长春市,112
台州市,宜春市,111
苏州市,咸阳市,111
巴音郭楞蒙古自治州,海西蒙古族藏族自治州,111
北京市,柳州市,111
石家庄市,盐城市,111
泰州市,阜阳市,111
廊坊市,徐州市,111
赣州市,安庆市,111
昆明市,太原市,111
济南市,长春市,111
昌都地区,玉树藏族自治州,111
北京市,舟山市,111
合肥市,金华市,111
海口市,桂林市,111
邢台市,滨州市,111
济南市,昆明市,111
济南市,扬州市,111
郑州市,天水市,111
石家庄市,鄂尔多斯市,111
常州市,广州市,111
苏州市,日照市,111
厦门市,衢州市,111
普洱市,保山市,111
毕节地区,资阳市,111
秦皇岛市,济南市,111
枣庄市,淮北市,111
衢州市,合肥市,111
长春市,鹤岗市,111
许昌市,邯郸市,111
大庆市,双鸭山市,111
孝感市,阜阳市,111
黔南布依族苗族自治州,武汉市,111
南通市,马鞍山市,111
呼和浩特市,杭州市,111
衡阳市,抚州市,111
驻马店市,济宁市,111
南阳市,邢台市,111
白城市,铁岭市,111
松原市,铁岭市,111
宝鸡市,商丘市,111
巢湖市,郑州市,111
洛阳市,厦门市,111
宿州市,平顶山市,111
西双版纳傣族自治州,攀枝花市,111
重庆市,阳江市,111
永州市,抚州市,111
商洛市,成都市,111
攀枝花市,玉溪市,111
菏泽市,兰州市,111
三门峡市,合肥市,111
白城市,青岛市,111
遵义市,北海市,111
常德市,黔南布依族苗族自治州,111
衡水市,长春市,111
西双版纳傣族自治州,黔西南布依族苗族自治州,111
铜仁地区,宜春市,111
上饶市,桂林市,111
重庆市,铜川市,111
济宁市,厦门市,111
焦作市,宁波市,111
四平市,潍坊市,111
铜仁地区,绍兴市,111
永州市,台州市,111
商洛市,广州市,111
蚌埠市,东莞市,111
来宾市,阳江市,111
庆阳市,株洲市,111
庆阳市,滁州市,111
泉州市,邵阳市,110
苏州市,运城市,110
惠州市,黄冈市,110
苏州市,襄樊市,110
广州市,安庆市,110
宁波市,淮安市,110
临沂市,周口市,110
汕尾市,赣州市,110
惠州市,漳州市,110
沈阳市,黑河市,110
金华市,连云港市,110
温州市,哈尔滨市,110
太原市,沈阳市,110
太原市,唐山市,110
郑州市,贵阳市,110
成都市,香港特别行政区,110
长春市,石家庄市,110
安阳市,吕梁市,110
南通市,雅安市,110
淄博市,郑州市,110
福州市,南通市,110
长治市,商丘市,110
昆明市,宁波市,110
盘锦市,通辽市,110
莆田市,长沙市,110
许昌市,晋城市,110
衢州市,长沙市,110
西安市,淮安市,110
洛阳市,温州市,110
襄樊市,商丘市,110
徐州市,宣城市,110
晋中市,衡水市,110
驻马店市,临沂市,110
济宁市,衡水市,110
绵阳市,咸阳市,110
连云港市,巢湖市,110
新乡市,襄樊市,110
黔东南苗族侗族自治州,上饶市,110
韶关市,宜春市,110
金昌市,白银市,110
邢台市,焦作市,110
厦门市,廊坊市,110
滁州市,上饶市,110
芜湖市,广州市,110
阜阳市,濮阳市,110
九江市,益阳市,110
邵阳市,贵港市,110
天水市,南阳市,110
怀化市,南阳市,110
黔西南布依族苗族自治州,上海市,110
泰安市,新乡市,110
六安市,成都市,110
嘉峪关市,哈密地区,110
焦作市,扬州市,110
达州市,荆州市,110
亳州市,聊城市,110
南阳市,唐山市,110
南平市,梅州市,110
开封市,连云港市,110
赤峰市,抚顺市,110
濮阳市,枣庄市,110
周口市,泰安市,110
南平市,常州市,110
昭通市,攀枝花市,110
柳州市,清远市,110
淮北市,深圳市,110
阳泉市,廊坊市,110
池州市,重庆市,110
荆门市,泉州市,110
平顶山市,中山市,110
通化市,盘锦市,110
湘潭市,江门市,110
广安市,温州市,110
通化市,沧州市,110
漯河市,沈阳市,110
丹东市,青岛市,110
宜宾市,台州市,110
衡阳市,汕头市,110
达州市,南京市,110
邵阳市,北海市,110
郴州市,宁波市,110
金华市,黔南布依族苗族自治州,109
青岛市,濮阳市,109
东莞市,随州市,109
江门市,永州市,109
苏州市,三门峡市,109
嘉兴市,蚌埠市,109
苏州市,宜昌市,109
珠海市,邵阳市,109
东莞市,昆明市,109
南通市,枣庄市,109
宁波市,淮南市,109
无锡市,淮南市,109
北京市,伊春市,109
临沂市,邢台市,109
西安市,扬州市,109
淄博市,沧州市,109
南京市,长春市,109
天津市,兰州市,109
东营市,濮阳市,109
厦门市,徐州市,109
哈尔滨市,昆明市,109
茂名市,重庆市,109
厦门市,太原市,109
唐山市,临沂市,109
赣州市,黄石市,109
西宁市,银川市,109
南京市,衢州市,109
西宁市,宝鸡市,109
揭阳市,长沙市,109
常州市,天津市,109
营口市,通辽市,109
延边朝鲜族自治州,白城市,109
十堰市,许昌市,109
景德镇市,黄冈市,109
成都市,保山市,109
包头市,成都市,109
盐城市,淮北市,109
四平市,绥化市,109
扬州市,绍兴市,109
济宁市,亳州市,109
赣州市,湛江市,109
襄樊市,徐州市,109
上饶市,岳阳市,109
大理白族自治州,宜宾市,109
保定市,桂林市,109
长春市,烟台市,109
焦作市,合肥市,109
呼伦贝尔市,青岛市,109
上饶市,荆州市,109
邯郸市,三门峡市,109
六安市,宜昌市,109
天水市,汉中市,109
聊城市,广州市,109
文山壮族苗族自治州,柳州市,109
阜阳市,咸阳市,109
阳泉市,济南市,109
娄底市,安顺市,109
商丘市,十堰市,109
临汾市,杭州市,109
九江市,桂林市,109
信阳市,泰州市,109
丽江市,德阳市,109
赣州市,云浮市,109
蚌埠市,南昌市,109
常州市,舟山市,109
岳阳市,昆明市,109
十堰市,南京市,109
毕节地区,岳阳市,109
广安市,楚雄彝族自治州,109
内江市,铜仁地区,109
兴安盟,辽阳市,109
宿州市,厦门市,109
鹰潭市,嘉兴市,109
汉中市,岳阳市,109
乐山市,桂林市,109
汉中市,清远市,109
东莞市,南充市,108
嘉兴市,宜宾市,108
温州市,襄樊市,108
东莞市,宜昌市,108
北京市,达州市,108
厦门市,遵义市,108
广州市,商丘市,108
保定市,阜阳市,108
佛山市,海南省直辖县级行政单位,108
金华市,池州市,108
昆明市,铜仁地区,108
常州市,成都市,108
莆田市,抚州市,108
长春市,三亚市,108
果洛藏族自治州,海南藏族自治州,108
金华市,芜湖市,108
泰州市,温州市,108
青岛市,昆明市,108
北京市,河南省直辖县级行政单位,108
中山市,上海市,108
香港特别行政区,天津市,108
绍兴市,扬州市,108
宿迁市,济宁市,108
长沙市,无锡市,108
徐州市,驻马店市,108
长春市,双鸭山市,108
酒泉市,北京市,108
柳州市,昆明市,108
济南市,桂林市,108
黔南布依族苗族自治州,宜春市,108
蚌埠市,枣庄市,108
南宁市,三亚市,108
聊城市,阜阳市,108
鸡西市,齐齐哈尔市,108
怀化市,恩施土家族苗族自治州,108
吉林市,葫芦岛市,108
天水市,固原市,108
景德镇市,长沙市,108
葫芦岛市,通辽市,108
遵义市,湘潭市,108
邯郸市,宿州市,108
嘉峪关市,金昌市,108
汉中市,天水市,108
邵阳市,恩施土家族苗族自治州,108
襄樊市,漯河市,108
怀化市,萍乡市,108
伊犁哈萨克自治州,喀什地区,108
安阳市,长沙市,108
永州市,咸宁市,108
运城市,兰州市,108
安康市,宜昌市,108
保定市,盐城市,108
巢湖市,金华市,108
沧州市,包头市,108
南昌市,韶关市,108
眉山市,汉中市,108
黔西南布依族苗族自治州,桂林市,108
南阳市,晋城市,108
孝感市,福州市,108
柳州市,阳江市,108
锦州市,济南市,108
周口市,淄博市,108
宁德市,惠州市,108
达州市,衡阳市,108
许昌市,乌鲁木齐市,108
吉安市,柳州市,108
十堰市,温州市,108
宜宾市,汉中市,108
邢台市,宿迁市,108
邵阳市,红河哈尼族彝族自治州,108
孝感市,昆明市,108
驻马店市,天水市,108
内江市,黔西南布依族苗族自治州,108
资阳市,安顺市,108
枣庄市,深圳市,108
齐齐哈尔市,阜新市,108
滁州市,厦门市,108
许昌市,中山市,108
鄂州市,株洲市,108
新乡市,舟山市,108
濮阳市,常州市,108
咸宁市,清远市,108
昭通市,中山市,108
六盘水市,惠州市,108
达州市,台州市,108
漯河市,赣州市,108
佛山市,河池市,107
嘉兴市,周口市,107
湖州市,安庆市,107
杭州市,荆州市,107
保定市,商丘市,107
佛山市,张家界市,107
嘉兴市,宿迁市,107
温州市,宣城市,107
嘉兴市,成都市,107
成都市,哈尔滨市,107
中山市,成都市,107
佛山市,郑州市,107
成都市,长春市,107
海口市,武汉市,107
郑州市,扬州市,107
绍兴市,长沙市,107
郑州市,南昌市,107
廊坊市,临汾市,107
济南市,安阳市,107
上海市,张家口市,107
北京市,汕头市,107
大连市,鸡西市,107
大连市,石家庄市,107
银川市,重庆市,107
南宁市,南京市,107
台州市,昆明市,107
兰州市,武汉市,107
东营市,枣庄市,107
常州市,青岛市,107
长春市,黑河市,107
嘉兴市,青岛市,107
杭州市,珠海市,107
太原市,包头市,107
抚州市,安庆市,107
昌吉回族自治州,西安市,107
咸阳市,徐州市,107
兰州市,海西蒙古族藏族自治州,107
保山市,红河哈尼族彝族自治州,107
盐城市,枣庄市,107
固原市,宝鸡市,107
宝鸡市,运城市,107
大庆市,盘锦市,107
盐城市,洛阳市,107
德州市,扬州市,107
滨州市,盐城市,107
海口市,阳江市,107
襄樊市,咸阳市,107
新乡市,亳州市,107
汉中市,遂宁市,107
陇南市,酒泉市,107
南通市,烟台市,107
聊城市,连云港市,107
广州市,湖州市,107
黄冈市,邵阳市,107
